record_id,file,kind,functional_class,title,author,year,source_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
D-004,recovered/corpus-standalone/D-004-evil-genes.txt,book,substantive,Evil Genes,Barbara Oakley,2008,427,12442,0,1068,238,887,563,214,2366,64,149,123,34,165,5
D-018,recovered/corpus-standalone/D-018-zarpentine-dissertation.txt,dissertation,substantive,"The Fragmentation of Moral Psychology: Reason, Emotion, Motivation and Moral Judgment in Ethics and Science",Christopher Zarpentine,2011,317,6403,1,574,151,719,183,78,1133,40,127,154,156,310,5
D-001,recovered/corpus-standalone/D-001-alienation-and-charisma.txt,book,substantive,Alienation and Charisma: A Study of Contemporary American Communes,Benjamin D. Zablocki,1980,488,5825,0,139,235,2063,739,396,580,114,114,111,61,170,5
D-006,recovered/corpus-standalone/D-006-the-kung-san.txt,book,substantive,"The !Kung San: Men, Women, and Work in a Foraging Society",Richard B. Lee,1979,564,4949,0,835,166,537,741,297,179,80,86,70,18,234,5
D-008,recovered/corpus-standalone/D-008-the-riddle-of-amish-culture.txt,book_epub,substantive,"The Riddle of Amish Culture, Revised Edition",Donald B. Kraybill,2001,,4764,0,170,369,1081,1288,523,208,54,18,61,66,57,5
D-002,recovered/corpus-standalone/D-002-commitment-and-community.txt,book,substantive,Commitment and Community: Communes and Utopias in Sociological Perspective,Rosabeth Moss Kanter,1972,324,3692,0,223,131,1120,392,445,268,69,43,39,37,69,5
D-007,recovered/corpus-standalone/D-007-the-mountain-people.txt,book,substantive,The Mountain People,Colin M. Turnbull,1972,324,2532,0,254,210,205,497,366,94,43,2,40,5,42,5
D-005,recovered/corpus-standalone/D-005-wrangham-targeted-conspiratorial-killing.txt,research_article,substantive,"Targeted Conspiratorial Killing, Human Self-Domestication and the Evolution of Groupishness",Richard W. Wrangham,2021,21,1431,1,293,21,63,3,18,142,17,9,12,12,18,5
