record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0788,recovered/corpus-v32/iss2/005-the-new-kibbutzim-case-study-overview-of-the-structure-organization-and-management-of-a-kibbutz-of-kvutzot.txt,32,2,article,"The New Kibbutzim: Case Study Overview of the Structure, Organization, and Management of a Kibbutz of Kvutzot",James Horrox,25,248,0,3,5,115,84,21,3,2,3,2,0,7,4
M-0776,recovered/corpus-v32/iss1/006-a-visit-to-the-shaker-village-of-white-water-in-1881.txt,32,1,article,A Visit to the Shaker Village of White Water in 1881,Thomas Sakmyster,26,220,0,8,27,33,45,37,9,5,0,6,0,10,3
M-0787,recovered/corpus-v32/iss2/004-charitable-trusts-and-longevity-in-new-zealand-s-intentional-communities.txt,32,2,article,Charitable Trusts and Longevity in New Zealand's Intentional Communities,Olive Jones,24,219,1,3,21,111,13,32,4,1,2,4,3,6,5
M-0789,recovered/corpus-v32/iss2/006-single-sex-secular-intentional-communities-in-australia.txt,32,2,article,"Single-Sex, Secular Intentional Communities in Australia",William J. Metcalf,34,210,0,9,20,77,20,34,4,16,4,3,1,6,5
M-0774,recovered/corpus-v32/iss1/004-rebuilding-oneida-ideology-architecture-and-community-planning-in-the-oneida-community-limited-1880-1935.txt,32,1,article,"Rebuilding Oneida: Ideology, Architecture, and Community Planning in the Oneida Community Limited, 1880-1935",Thomas A. Guiler,38,195,0,6,7,65,48,35,5,3,1,2,1,14,5
M-0775,recovered/corpus-v32/iss1/005-social-innovations-for-communal-and-ecological-living-lessons-from-sustainability-research-and-observations-in.txt,32,1,article,Social Innovations for Communal and Ecological Living: Lessons from Sustainability Research and Observations in Intentional Communities,Iris Kunze,18,139,0,5,4,73,14,11,6,2,5,1,0,9,4
M-0780,recovered/corpus-v32/iss1/010-review-of-new-harmony-then-and-now.txt,32,1,book_review,Review of New Harmony Then and Now,Donald E. Janzen,5,109,1,33,0,3,2,2,1,0,0,1,8,2,3
M-0795,recovered/corpus-v32/iss2/012-review-of-a-thousand-lives-the-untold-story-of-hope-deception-and-survival-at-jonestown.txt,32,2,book_review,"Review of A Thousand Lives: The Untold Story of Hope, Deception, and Survival at Jonestown",Brad Stoddard,4,83,0,19,5,5,2,6,1,3,2,1,4,3,5
M-0790,recovered/corpus-v32/iss2/007-review-of-demographic-directory-of-the-harmony-society.txt,32,2,book_review,Review of Demographic Directory of the Harmony Society,Donald E. Pitzer,3,75,1,22,1,2,4,1,0,0,1,0,4,1,3
M-0792,recovered/corpus-v32/iss2/009-review-of-the-hutterites-in-north-america.txt,32,2,book_review,Review of The Hutterites in North America,John D. Roth,5,42,0,1,5,14,4,8,1,0,1,2,3,2,4
M-0794,recovered/corpus-v32/iss2/011-review-of-discovering-camphill-new-perspectives-research-and-developments.txt,32,2,book_review,"Review of Discovering Camphill: New Perspectives, Research, and Developments",Pamela Cushing,7,38,0,0,3,19,8,2,1,2,1,3,3,1,5
M-0796,recovered/corpus-v32/iss2/013-review-of-talking-with-the-children-of-god-prophecy-and-transformation-in-a-radical-religious-group.txt,32,2,book_review,Review of Talking with the Children of God: Prophecy and Transformation in a Radical Religious Group,Timothy Miller,4,36,1,1,0,6,26,1,0,0,1,0,3,3,3
M-0793,recovered/corpus-v32/iss2/010-review-of-from-new-lanark-to-mound-bayou-owenism-in-the-mississippi-delta.txt,32,2,book_review,Review of From New Lanark to Mound Bayou: Owenism in the Mississippi Delta,Susan Love Brown,4,33,0,6,0,8,7,0,0,0,1,0,3,4,3
