record_id,file,volume,issue,kind,functional_class,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0951,recovered/corpus-v38/vol38/iss2/005-apocalyptic-redemption-and-utopian-resignation-how-visions-of-dystopia-made-community-impossible-in-jonestown.txt,38,2,article,substantive,Apocalyptic Redemption and Utopian Resignation: How Visions of Dystopia Made Community Impossible in Jonestown,Morgan Shipley,29,458,1,92,22,44,9,37,16,2,17,10,6,10,5
M-0942,recovered/corpus-v38/vol38/iss1/007-a-separatist-song-a-newly-discovered-poem-about-zoars-beginnings.txt,38,1,article,substantive,"â•œA Separatist Songâ•š: A Newly Discovered Poem
about Zoarâ•Žs Beginnings",Kathleen M. Fernandez,29,333,1,19,26,60,24,128,4,4,1,5,1,8,5
M-0954,recovered/corpus-v38/vol38/iss2/008-the-peoples-press-the-evolution-of-the-medias-treatment-of-jim-jones-and-peoples-temple.txt,38,2,article,substantive,The Peoples Press: The Evolution of the Mediaâ•Žs Treatment of Jim Jones and Peoples Temple,Cheryl Coulthard,18,329,1,36,22,104,13,18,14,54,23,4,2,3,5
M-0941,recovered/corpus-v38/vol38/iss1/006-owned-and-controlled-by-negroes-allensworth-and-the-study-of-subnational-space.txt,38,1,article,substantive,"â•œOwned and Controlled by Negroesâ•š:
Allensworth and the Study of Subnational Space",Amy Hart,22,303,1,25,24,68,58,24,10,12,1,5,5,4,5
M-0939,recovered/corpus-v38/vol38/iss1/004-the-communal-ethos-of-the-mennonite-central-committee-testing-the-bounds-of-community-in-kenya.txt,38,1,article,substantive,"The Communal Ethos of the Mennonite
Central Committee: Testing the Bounds of
Community in Kenya",Emily Welty,30,244,1,6,33,87,24,19,10,7,10,20,7,11,5
M-0952,recovered/corpus-v38/vol38/iss2/006-the-erasure-and-re-inscription-of-african-americans-from-the-jonestown-narrative.txt,38,2,article,substantive,The Erasure (and Re-inscription) of African Americans from the Jonestown Narrative,Rebecca Moore,26,229,0,31,8,46,29,21,8,6,4,5,4,4,5
M-0940,recovered/corpus-v38/vol38/iss1/005-truth-seeker-on-the-holy-mount-derobigne-mortimer-bennetts-descent-from-the-shaker-feast-ground.txt,38,1,article,substantive,"Truth Seeker on the Holy Mount:
DeRobigne Mortimer Bennettâ•Žs Descent from the
Shaker Feast Ground",Christian Goodwillie,28,185,0,7,26,30,32,20,10,2,1,2,1,5,5
M-0953,recovered/corpus-v38/vol38/iss2/007-communal-learning-in-the-socialist-context-of-jonestown.txt,38,2,article,substantive,Communal Learning in the Socialist Context of Jonestown,Edward Cromarty,12,131,0,1,2,18,59,2,15,4,0,2,6,2,4
M-0950,recovered/corpus-v38/vol38/iss2/004-an-unfathomable-complexity-using-peoples-temple-as-a-primer-in-the-study-of-religion.txt,38,2,article,substantive,An Unfathomable Complexity: Using Peoples Temple as a Primer in the Study of Religion,Stephen C. Taysom,9,103,0,19,6,5,12,8,3,3,3,4,2,0,4
M-0944,recovered/corpus-v38/vol38/iss1/009-review-of-hippie-family-values.txt,38,1,book_review,substantive,Review of Hippie Family Values,Nancy Stein,5,33,1,0,1,2,16,7,2,0,0,1,6,1,3
M-0945,recovered/corpus-v38/vol38/iss1/010-review-of-living-sustainably-what-intentional-communities-can-teach-us-about-democracy-simplicity-and-nonviole.txt,38,1,book_review,substantive,"Review of Living Sustainably: What Intentional Communities Can
Teach Us about Democracy, Simplicity, and Nonviolence",Joshua Lockyer,6,18,0,0,0,3,0,3,4,0,0,4,10,2,3
M-0946,recovered/corpus-v38/vol38/iss1/011-review-of-oneida-utopia-a-community-searching-for-human-happiness-and-prosperity.txt,38,1,book_review,substantive,"Review of Oneida Utopia: A Community Searching for Human
Happiness and Prosperity",Lawrence Foster,5,15,0,1,0,8,2,2,0,0,1,0,5,1,3
M-0943,recovered/corpus-v38/vol38/iss1/008-review-of-irwin-klein-and-the-new-settlers-photographs-of-counterculture-in-new-mexico.txt,38,1,book_review,substantive,Review of Irwin Klein and the New Settlers: Photographs of Counterculture in New Mexico,Nancy Stein,5,9,0,0,0,0,5,4,0,0,0,0,5,0,1
M-0955,recovered/corpus-v38/vol38/iss2/009-jonestown-a-bibliography.txt,38,2,article,metadata,Jonestown: A Bibliography,Susan Love Brown,4,25,0,3,4,6,2,0,0,2,2,0,2,1,4
M-0947,recovered/corpus-v38/vol38/iss2/001-from-the-editors.txt,38,2,editorial,metadata,From the Editors,"Laura Johnston Kohl, Carol Medlicott, Heather Van Wormer, and Susan Love Brown",3,7,0,0,2,1,1,1,0,0,0,0,3,0,1
M-0937,recovered/corpus-v38/vol38/iss1/002-from-the-editors.txt,38,1,editorial,metadata,From the Editors,"Carol Medlicott, Heather Van Wormer, and Susan Love Brown",4,6,0,0,1,1,0,0,1,0,0,0,3,0,1
M-0938,recovered/corpus-v38/vol38/iss1/003-contents.txt,38,1,contents,metadata,Contents,,3,4,0,0,0,2,1,1,0,0,0,0,1,0,1
M-0948,recovered/corpus-v38/vol38/iss2/002-table-of-contents.txt,38,2,table_of_contents,metadata,Table of Contents,,2,4,0,0,0,0,0,1,1,0,0,1,1,0,2
M-0936,recovered/corpus-v38/vol38/iss1/001-front-matter.txt,38,1,front_matter,metadata,Front Matter,,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1
M-0949,recovered/corpus-v38/vol38/iss2/003-contributors.txt,38,2,article,metadata,Contributors,,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1
