record_id,file,volume,issue,kind,functional_class,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0119,recovered/corpus-v45/vol45/iss1/004-health-and-health-care-in-intentional-communities.txt,45,1,article,substantive,Health and Health Care in Intentional Communities,Lyman Tower Sargent,25,1012,0,22,2,76,80,42,248,14,8,22,10,22,5
M-0120,recovered/corpus-v45/vol45/iss1/005-from-cloistered-courts-to-prairie-colonies-five-centuries-of-hutterite-communal-architecture.txt,45,1,article,substantive,From Cloistered Courts to Prairie Colonies: Five Centuries of Hutterite Communal Architecture,Sibylle Becker-Kilian,45,488,1,10,68,56,116,132,6,2,8,2,10,46,5
M-0121,recovered/corpus-v45/vol45/iss1/006-review-of-cults-like-us-why-doomsday-thinking-drives-america.txt,45,1,book_review,substantive,Review of Cults Like Us!: Why Doomsday Thinking Drives America,Cheryl Coulthard,4,80,0,7,3,36,0,8,3,0,0,2,9,3,3
M-0129,recovered/corpus-v45/vol45/iss1/014-review-of-trust-me.txt,45,1,book_review,substantive,Review of Trust Me,Susanna Pyatt,3,76,1,8,0,24,8,2,6,0,2,2,4,0,3
M-0124,recovered/corpus-v45/vol45/iss1/009-review-of-t-lobsang-rampa-and-other-characters-of-questionable-faith.txt,45,1,book_review,substantive,Review of T. Lobsang Rampa and other Characters of Questionable Faith,Jeremy E. C. Genovese,5,74,0,4,8,16,8,4,6,3,2,2,6,4,5
M-0123,recovered/corpus-v45/vol45/iss1/008-review-of-the-house-of-david-salvation-scandal-and-survival-in-a-modern-american-commune.txt,45,1,book_review,substantive,"Review of The House of David: Salvation, Scandal and Survival in a Modern American Commune",Brian D. Carroll,5,59,0,10,5,16,1,2,0,1,1,0,7,0,3
M-0128,recovered/corpus-v45/vol45/iss1/013-review-of-stranger-in-a-strange-land.txt,45,1,book_review,substantive,Review of Stranger in a Strange Land,Stephanie Carpenter,4,49,0,10,5,5,4,0,0,2,0,1,4,3,4
M-0122,recovered/corpus-v45/vol45/iss1/007-review-of-from-cloistered-courts-to-prairie-colonies-five-centuries-of-hutterite-communal-deadheads-and-christ.txt,45,1,book_review,substantive,Review of From Cloistered Courts to Prairie Colonies: Five Centuries of Hutterite Communal Deadheads and Christians: You will Know Them by their Love,Shawn David Young,5,45,1,3,4,19,0,6,1,0,1,0,10,3,3
M-0125,recovered/corpus-v45/vol45/iss1/010-review-of-how-to-become-a-cult-leader.txt,45,1,book_review,substantive,Review of How to Become a Cult Leader,Cheryl Coulthard,3,22,1,2,1,7,1,3,1,0,0,1,2,2,3
M-0126,recovered/corpus-v45/vol45/iss1/011-review-of-mormonism.txt,45,1,book_review,substantive,Review of Mormonism,Charlotte Hansen Terry,3,18,0,3,1,1,0,3,1,0,0,1,2,0,2
M-0127,recovered/corpus-v45/vol45/iss1/012-review-of-shaker-made-inside-pleasant-hill-s-shaker-village.txt,45,1,book_review,substantive,Review of Shaker Made: Inside Pleasant Hill's Shaker Village,Marc A. Rhorer,3,7,0,1,1,2,0,0,0,0,0,1,2,1,3
M-0116,recovered/corpus-v45/vol45/iss1/001-front-matter.txt,45,1,front_matter,metadata,Front Matter,,7,17,0,0,5,4,0,3,0,0,0,4,10,0,2
M-0117,recovered/corpus-v45/vol45/iss1/002-contents.txt,45,1,contents,metadata,Contents,,3,11,0,0,2,2,0,2,1,0,4,0,10,0,2
M-0118,recovered/corpus-v45/vol45/iss1/003-from-the-editors.txt,45,1,editorial,metadata,From the Editors,Heather Van Wormer and Cheryl Coulthard,4,10,0,0,1,4,0,1,1,0,4,0,12,0,2
M-0130,recovered/corpus-v45/vol45/iss1/015-back-matter.txt,45,1,back_matter,metadata,Back Matter,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
