record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0702,recovered/corpus-v29-v30/vol29/iss2/009-our-land-rodger-mcafee-and-his-life-long-quest-for-community-in-america.txt,29,2,article,Our Land: Rodger McAfee and His Life-Long Quest for Community in America,Morgan E. Bowen,35,412,0,33,32,105,77,31,12,8,3,2,3,12,5
M-0697,recovered/corpus-v29-v30/vol29/iss2/004-new-harmony-the-owen-brothers-and-the-origin-of-the-smithsonian.txt,29,2,article,"New Harmony, the Owen Brothers, and the Origin of the Smithsonian",Lucy Jayne Kamau,16,355,1,76,4,58,34,24,1,1,1,1,0,7,4
M-0699,recovered/corpus-v29-v30/vol29/iss2/006-marie-ogden-and-the-home-of-truth-a-millennial-prophet-and-the-life-and-decline-of-her-community.txt,29,2,article,Marie Ogden and the Home Of Truth: A Millennial Prophet and the Life and Decline of her Community,Bradley C. Whitsel,38,317,0,17,13,133,30,35,14,22,8,9,0,27,4
M-0727,recovered/corpus-v29-v30/vol30/iss2/005-alberta-hutterite-colonies-an-exploration-of-past-present-and-future-settlement-patterns.txt,30,2,article,"Alberta Hutterite Colonies: An Exploration of Past, Present and Future Settlement Patterns",Simon M. Evans,38,285,0,8,7,82,100,38,9,11,9,2,4,13,5
M-0726,recovered/corpus-v29-v30/vol30/iss2/004-dissolution-as-an-act-of-creation-the-koreshan-unity.txt,30,2,article,Dissolution as an Act of Creation: The Koreshan Unity,Lynn Rainard,26,246,0,8,16,83,19,22,22,8,2,4,2,13,5
M-0715,recovered/corpus-v29-v30/vol30/iss1/007-a-third-way-the-politics-of-spiritual-community-in-the-evangelical-left.txt,30,1,article,A Third Way: The Politics of Spiritual Community in the Evangelical Left,David R. Swartz,25,216,1,6,18,66,34,35,9,9,2,8,2,4,5
M-0716,recovered/corpus-v29-v30/vol30/iss1/008-george-rapp-and-the-harmony-society.txt,30,1,article,George Rapp and the Harmony Society,Robin White and Joe White,12,191,1,42,3,20,16,20,1,1,0,2,0,3,3
M-0714,recovered/corpus-v29-v30/vol30/iss1/006-becoming-two-in-one-imaginary-space-and-androgyny-in-koreshan-universology.txt,30,1,article,"Becoming ""Two-in-One:"" Imaginary Space and Androgyny in Koreshan Universology",Kathryn Turner,26,150,0,9,8,55,23,14,5,2,7,0,5,12,4
M-0700,recovered/corpus-v29-v30/vol29/iss2/007-the-ongoing-shaker-covenant.txt,29,2,article,The Ongoing Shaker Covenant,Stephen J. Paterwic,10,131,0,2,7,56,34,3,6,2,1,3,0,4,4
M-0712,recovered/corpus-v29-v30/vol30/iss1/004-a-matter-of-definition-just-what-is-an-intentional-community.txt,30,1,article,A Matter of Definition: Just What is an Intentional Community?,Timothy Miller,16,129,0,13,9,24,11,22,5,0,3,0,1,1,3
