record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0743,recovered/corpus-v31/vol31/iss1/004-when-do-millennial-religious-movements-become-politically-revolutionary-a-comparative-analysis-of-the-oneida-c.txt,31,1,article,"When Do Millennial Religious Movements Become Politically Revolutionary?: A Comparative Analysis of the Oneida Community, the Taiping Rebellion, and the Mormons during the Nineteenth Century",Lawrence Foster,29,339,0,45,13,85,13,20,20,2,6,4,2,19,5
M-0759,recovered/corpus-v31/vol31/iss2/004-zion-city-a-theocratic-municipality-with-a-coda-on-ave-maria.txt,31,2,article,"Zion City: A Theocratic Municipality, With a Coda on Ave Maria",Holly Folk,21,251,0,10,23,107,11,33,8,2,0,6,3,10,4
M-0744,recovered/corpus-v31/vol31/iss1/005-the-challenge-of-sustainability-a-cautionary-tale-from-amana.txt,31,1,article,The Challenge of Sustainability: A Cautionary Tale from Amana,Jonathan G. Andelson,26,198,0,14,3,57,25,32,12,6,7,4,3,3,5
M-0760,recovered/corpus-v31/vol31/iss2/005-city-communes-in-israel-prolegomena-to-a-morphology-of-urban-communalism.txt,31,2,article,City Communes in Israel: Prolegomena to a Morphology of Urban Communalism,James Horrox,25,185,0,2,4,50,58,30,11,1,0,4,2,12,4
M-0745,recovered/corpus-v31/vol31/iss1/006-dear-friend-and-brother-ernest-f-mcgregor-and-the-shakers.txt,31,1,article,"""Dear Friend and Brother"": Ernest F. McGregor and the Shakers",Christian Goodwillie,29,166,0,1,3,46,99,12,0,2,2,1,0,4,4
M-0754,recovered/corpus-v31/vol31/iss1/015-review-of-mennonite-in-a-little-black-dress-a-memoir-of-going-home.txt,31,1,book_review,Review of Mennonite in a Little Black Dress: A Memoir of Going Home,Joanna Wiebe,8,124,0,8,6,4,37,5,14,1,1,0,5,2,4
M-0749,recovered/corpus-v31/vol31/iss1/010-review-of-the-great-divorce-a-nineteenth-century-mother-s-extraordinary-fight-against-her-husband-the-shakers.txt,31,1,book_review,"Review of The Great Divorce: A Nineteenth Century Mother's Extraordinary Fight Against Her Husband, the Shakers, and Her Times",Marlyn McGary Klee,6,83,0,5,4,15,32,7,2,1,0,1,4,4,4
M-0762,recovered/corpus-v31/vol31/iss2/007-stillness-at-last-preservation-of-the-built-environment-at-sabbath-day-lake.txt,31,2,article,Stillness at Last: Preservation of the Built Environment at Sabbath day Lake,Adam Krakowski,15,60,0,1,7,12,23,8,0,0,2,4,0,7,3
M-0761,recovered/corpus-v31/vol31/iss2/006-our-spiritual-ancestors-alonzo-hollister-s-record-of-shaker-pioneers-in-the-west.txt,31,2,article,"Our spiritual ancestors': Alonzo Hollister's Record of Shaker ""Pioneers"" in the West",Carol Medlicott,16,58,0,2,2,30,8,7,1,2,0,1,1,4,4
M-0764,recovered/corpus-v31/vol31/iss2/009-review-of-the-love-israel-family-urban-commune-rural-commune.txt,31,2,book_review,"Review of The Love Israel Family: Urban Commune, Rural Commune",Holly Folk,5,52,1,1,1,11,30,3,1,0,0,0,4,1,2
