file,score,danger,sanction,governance,child,exit,clinical
recovered/corpus-v21-v25/vol21-25/vol21/iss1/006-ehereligion-the-moravian-theory-and-practice-of-marriage-as-point-of-contention-in-the-conflict-between-ephrat.txt,25,0,2,14,7,0,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/014-fictional-intentional-communities-in-literature.txt,23,3,0,2,10,2,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/016-review-of-drop-city.txt,21,2,0,4,10,1,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/007-ephrata-and-moravian-relations-the-view-from-ephrata.txt,20,0,1,8,4,6,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/013-timon-communities-in-the-netherlands.txt,16,0,0,1,12,3,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/014-review-of-the-palgrave-companion-to-north-american-utopias.txt,15,1,0,7,4,1,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/015-memoirs-of-the-60s-communes-just-in-time.txt,15,0,0,3,3,9,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/012-a-cyber-bibliographic-essay-internet-resources-for-exploring-nineteenth-century-american-utopian-communities.txt,15,0,1,4,6,3,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/001-front-matter.txt,14,2,2,0,3,1,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/018-review-of-a-priceless-view-my-spiritual-homecoming.txt,14,0,0,0,11,3,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/017-review-of-radical-religion-in-america-millenarian-movements-from-the-far-right-to-the-children-of-noah.txt,13,3,0,0,4,0,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/011-the-food-suitor-and-a-journal-entry-1999.txt,12,1,0,0,4,5,0
recovered/corpus-v21-v25/vol21-25/vol24/iss1/012-review-of-the-riddle-of-amish-culture.txt,12,0,2,2,6,0,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/001-front-matter.txt,12,0,2,1,3,4,0
recovered/corpus-v21-v25/vol21-25/vol23/iss1/012-not-a-lifestyle.txt,11,1,0,2,0,6,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/016-review-of-die-kunst-des-teilens-eine-vergleichende-untersuchung-zu-den-uberlebensbedingungen-kommunitarer-grup.txt,10,0,1,7,1,0,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/001-front-matter.txt,10,0,3,3,0,1,0
recovered/corpus-v21-v25/vol21-25/vol21/iss1/019-review-of-the-amish-on-the-iowa-prairie-1840-to-1910.txt,10,0,0,10,0,0,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/022-review-of-the-kibbutz-movement-a-history-volume-1-origins-and-growth-1909-1939.txt,9,1,0,2,4,0,0
recovered/corpus-v21-v25/vol21-25/vol25/iss1/020-review-of-a-priceless-view-my-spiritual-homecoming.txt,9,2,0,2,0,1,0
recovered/corpus-v21-v25/vol21-25/vol22/iss1/020-review-of-the-pursuit-of-a-dream.txt,8,1,0,3,1,1,0
