record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0865,recovered/corpus-v35/vol35/iss1/003-harmonist-demography-and-town-planning-in-new-harmony-indiana.txt,35,1,article,"Harmonist Demography and Town Planning in New Harmony, Indiana",Michael Strezewski,28,896,2,224,11,41,129,14,6,12,8,6,2,12,5
M-0877,recovered/corpus-v35/vol35/iss2/003-the-seventh-elect-church-in-israel-seattles-long-haired-preachers.txt,35,2,article,The Seventh Elect Church in Israel: Seattleâ•Žs â•œLong-Haired Preachersâ•š,Barbara Hainley,28,441,0,13,83,120,25,76,5,22,1,8,6,15,5
M-0879,recovered/corpus-v35/vol35/iss2/005-discord-in-utopia-reconciling-perfectionism-with-human-nature-in-the-oneida-community.txt,35,2,article,Discord in Utopia: Reconciling Perfectionism with Human Nature in the Oneida Community,Leigh Gialanella,28,417,1,19,30,130,24,14,44,14,2,5,1,12,5
M-0868,recovered/corpus-v35/vol35/iss1/006-the-communal-studies-association-at-forty-a-personal-retrospective.txt,35,1,article,The Communal Studies Association at Forty: A Personal Retrospective,Donald E. Pitzer,29,309,0,50,14,67,21,28,5,0,2,6,1,16,4
M-0866,recovered/corpus-v35/vol35/iss1/004-the-kibbutzims-attitude-toward-institutions-of-higher-education-from-rejection-and-reservation-to-integration.txt,35,1,article,The Kibbutzimâ•Žs Attitude toward Institutions of Higher Education: From Rejection and Reservation to Integration,Doron Timor and Uri Cohen,26,222,0,4,7,94,43,35,8,3,5,3,0,19,4
M-0867,recovered/corpus-v35/vol35/iss1/005-the-advent-of-the-disappointed-why-the-millerites-joined-the-shakers-and-why-they-quickly-left.txt,35,1,article,The Advent of the Disappointed: Why the Millerites Joined the Shakers and Why They Quickly Left,Caroline Clarke,26,206,1,4,23,52,30,63,1,4,0,3,4,15,4
M-0878,recovered/corpus-v35/vol35/iss2/004-louise-michel-the-paris-commune-and-icaria-europes-social-question-and-the-legacy-of-french-communalism.txt,35,2,article,"Louise Michel, the Paris Commune, and Icaria: Europeâ•Žs Social Question and the Legacy of French Communalism",Casey Harison,27,173,0,21,16,44,7,24,1,4,1,2,3,11,5
M-0880,recovered/corpus-v35/vol35/iss2/006-shakers-and-the-landscape-of-stewardship.txt,35,2,article,Shakers and the Landscape of Stewardship,Carl Benton Straub,17,77,0,6,7,23,12,4,2,1,2,7,0,11,4
M-0869,recovered/corpus-v35/vol35/iss1/007-review-of-brigham-young-sovereign-in-america.txt,35,1,book_review,Review of Brigham Young: Sovereign in America,Stewart Davenport,5,43,0,3,0,25,7,2,0,2,1,0,7,0,3
M-0870,recovered/corpus-v35/vol35/iss1/008-review-of-chinchillas-communal-settlers.txt,35,1,book_review,Review of Chinchillaâ•Žs Communal Settlers,Ruth S. Kerr,5,33,0,0,2,14,4,5,2,0,1,1,5,3,4
