record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0855,recovered/corpus-v34/vol34/iss2/004-virtuous-mother-or-wanton-woman-gendered-rhetoric-in-shaker-and-anti-shaker-publications-in-the-early-republic.txt,34,2,article,Virtuous Mother or Wanton Woman?: Gendered Rhetoric in Shaker and Anti-Shaker Publications in the Early Republic,Lindy Cummings,26,313,0,25,21,52,34,26,28,21,0,4,4,7,4
M-0858,recovered/corpus-v34/vol34/iss2/007-ananda-and-the-world-brotherhood-communities-movement.txt,34,2,article,Ananda and the World Brotherhood Communities Movement,Prisha Kirby,33,310,0,12,55,66,16,46,12,9,2,2,4,19,5
M-0837,recovered/corpus-v34/vol34/iss1/004-the-coronation-of-james-j-strang-and-the-making-of-beaver-island-mormonism.txt,34,1,article,The Coronation of James J. Strang and the Making of Beaver Island Mormonism,Christopher James Blythe,28,283,0,4,18,201,12,16,2,7,8,3,2,18,5
M-0838,recovered/corpus-v34/vol34/iss1/005-being-the-change-food-nonviolence-and-self-sufficiency-in-contemporary-intentional-communities.txt,34,1,article,"Being the Change: Food, Nonviolence, and Self-Sufficiency in Contemporary Intentional Communities",A. Whitney Stanford,26,205,0,30,8,41,7,12,13,1,6,5,1,4,5
M-0839,recovered/corpus-v34/vol34/iss1/006-mummyjum-the-shaker-pilgrim-encounter-of-1817-1818.txt,34,1,article,MummyJum: The Shaker-Pilgrim Encounter of 1817-1818,Christian Goodwillie,25,181,0,4,13,40,55,33,5,12,1,3,2,7,5
M-0840,recovered/corpus-v34/vol34/iss1/007-german-memories-of-icaria-carl-zwicker-s-four-years-experience-of-a-communistic-life-1878.txt,34,1,article,"German Memories of Icaria: Carl Zwicker's ""Four Years' Experience of a Communistic Life"" (1878)",Philip Lockley,15,106,0,4,5,31,22,22,3,1,0,1,2,7,4
M-0857,recovered/corpus-v34/vol34/iss2/006-a-conversation-with-paolo-lugari-founder-of-las-gaviotas-colombia.txt,34,2,article,"A Conversation with Paolo Lugari, Founder of Las Gaviotas, Colombia",Jonathan Andelson,16,98,1,6,5,22,22,14,4,1,0,0,0,8,2
M-0861,recovered/corpus-v34/vol34/iss2/010-review-of-renegade-amish-beard-cutting-hate-crimes-and-the-trial-of-the-bergholz-barbers.txt,34,2,book_review,"Review of Renegade Amish: Beard Cutting, Hate Crimes, and the Trial of the Bergholz Barbers",Lynn S. Neal,4,92,2,18,11,9,3,4,0,0,1,1,5,0,3
M-0849,recovered/corpus-v34/vol34/iss1/016-review-of-down-in-the-chapel-religious-life-in-an-american-prison.txt,34,1,book_review,Review of Down in the Chapel: Religious Life in an American Prison,Brad Stoddard,4,61,1,0,28,0,0,5,0,0,0,0,4,3,2
M-0856,recovered/corpus-v34/vol34/iss2/005-davidisches-psalter-spiel-der-kinder-zions.txt,34,2,article,Davidisches Psalter-Spiel der Kinder Zions,Hedwig T. Durnbaugh,18,61,0,4,6,14,6,14,1,0,2,4,1,6,4
M-0842,recovered/corpus-v34/vol34/iss1/009-review-of-the-mormon-quest-for-glory-the-religious-world-of-the-latter-day-saints.txt,34,1,book_review,Review of The Mormon Quest for Glory: The Religious World of the Latter-day Saints,Douglas A. Foster,4,36,0,0,3,10,20,0,0,1,2,1,7,0,4
M-0841,recovered/corpus-v34/vol34/iss1/008-review-of-god-s-forever-family-the-jesus-people-movement-in-america.txt,34,1,book_review,Review of God's Forever Family: The Jesus People Movement in America,Mark A. Noll,5,29,1,0,4,4,10,1,2,0,0,1,6,3,3
M-0845,recovered/corpus-v34/vol34/iss1/012-review-of-the-amish.txt,34,1,book_review,Review of The Amish,Melanie Springer Mock,4,24,0,0,3,4,9,5,0,1,2,1,4,0,4
M-0848,recovered/corpus-v34/vol34/iss1/015-review-of-issachar-bates-a-shaker-s-journey.txt,34,1,book_review,Review of Issachar Bates: A Shaker's Journey,Mary Ann Haagen,4,21,0,1,2,9,3,2,0,0,0,0,6,1,2
