record_id,file,volume,issue,kind,functional_class,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0054,recovered/corpus-v43/vol43/iss1/009-review-of-urban-communal-living-in-britain.txt,43,1,book_review,substantive,Review of Urban Communal Living in Britain,William J. Metcalf,5,40,0,0,4,14,0,0,6,0,2,0,11,2,3
M-0073,recovered/corpus-v43/vol43/iss2/008-review-of-everyday-utopia-what-2-000-years-of-wild-experiments-can-teach-us-about-the-good-life.txt,43,2,book_review,substantive,"Review of Everyday Utopia: What 2,000 Years of Wild Experiments Can Teach Us About the Good Life",Etta M. Madden,5,37,0,3,0,3,22,0,1,0,1,1,7,3,4
M-0055,recovered/corpus-v43/vol43/iss1/010-review-of-richard-mcnemar-frontier-heretic-and-shaker-apostle.txt,43,1,book_review,substantive,Review of Richard McNemar Frontier Heretic and Shaker Apostle,Stephen J. Paterwic,4,31,0,0,3,0,0,4,7,0,0,8,8,2,3
M-0059,recovered/corpus-v43/vol43/iss1/014-the-christian-countercult-movement-and-hare-krishna-in-the-twenty-first-century.txt,43,1,article,substantive,The Christian Countercult Movement and Hare Krishna in the Twenty-First Century,Timothy Miller,3,24,0,4,0,8,2,2,0,0,0,0,0,0,0
M-0050,recovered/corpus-v43/vol43/iss1/005-from-developmental-communalism-to-transformative-utopianism-and-beyond-reflections-from-a-mid-career-anthropol.txt,43,1,article,substantive,From Developmental Communalism to Transformative Utopianism and Beyond: Reflections from a Mid-Career Anthropologist on the Past and Future of Communal Studies,Joshua Lockyer,7,22,0,0,0,12,4,0,2,0,4,0,2,4,3
M-0076,recovered/corpus-v43/vol43/iss2/011-review-of-collaborative-happiness-building-the-good-life-in-urban-cohousing-communities.txt,43,2,book_review,substantive,Review of Collaborative Happiness: Building the Good Life in Urban Cohousing Communities,Penny Clark,5,17,0,0,2,13,0,0,0,3,0,2,9,2,4
M-0058,recovered/corpus-v43/vol43/iss1/013-finding-god-through-yoga-paramahansa-yogananda-and-modern-american-religion-in-a-global-age.txt,43,1,article,substantive,Finding God through Yoga: Paramahansa Yogananda and Modern American Religion in a Global Age,Kristalyn M. Shefveland,4,16,0,0,1,2,2,4,2,0,3,0,0,0,1
M-0078,recovered/corpus-v43/vol43/iss2/013-review-of-this-chosen-pleasant-hill-shakers-of-the-kentucky-bluegrass.txt,43,2,book_review,substantive,Review of This Chosen Pleasant Hill: Shakers of the Kentucky Bluegrass,Susanna Pyatt,4,16,0,0,0,1,1,2,4,0,2,2,6,0,3
M-0057,recovered/corpus-v43/vol43/iss1/012-the-transcendental-meditation-movement.txt,43,1,article,substantive,The Transcendental Meditation Movement,Scott Lowe,3,14,0,1,1,2,0,1,2,0,1,0,0,0,1
M-0061,recovered/corpus-v43/vol43/iss1/016-review-of-on-the-level-poems-on-living-with-multiple-sclerosis.txt,43,1,book_review,substantive,Review of On the Level: Poems on Living with Multiple Sclerosis,Larry Foster,3,12,0,0,0,0,0,0,4,0,0,0,4,0,1
M-0060,recovered/corpus-v43/vol43/iss1/015-review-of-failed-utopia.txt,43,1,book_review,substantive,Review of Failed Utopia,Deborah E. Altus,3,8,0,0,2,4,0,0,0,0,0,0,4,0,1
M-0067,recovered/corpus-v43/vol43/iss2/002-table-of-contents.txt,43,2,table_of_contents,metadata,Table of Contents,,4,21,0,5,2,0,0,2,0,0,0,0,19,0,1
M-0082,recovered/corpus-v43/vol43/iss2/017-front-matter.txt,43,2,front_matter,metadata,Front Matter,,7,17,0,1,4,4,0,2,0,0,0,4,9,0,2
M-0046,recovered/corpus-v43/vol43/iss1/001-front-matter.txt,43,1,front_matter,metadata,Front Matter,,7,14,0,0,4,4,0,2,0,0,0,4,4,0,2
M-0047,recovered/corpus-v43/vol43/iss1/002-table-of-contents.txt,43,1,table_of_contents,metadata,Table of Contents,Heather Van Wormer and Cheryl Coulthard,4,12,0,2,2,0,0,2,0,0,0,0,24,0,1
M-0048,recovered/corpus-v43/vol43/iss1/003-from-the-editors.txt,43,1,editorial,metadata,From the Editors,,3,8,0,2,0,2,0,0,0,0,0,0,8,0,1
M-0066,recovered/corpus-v43/vol43/iss2/001-from-the-editors.txt,43,2,editorial,metadata,From the Editors,Heather Van Wormer and Cheryl Coulthard,3,8,0,2,0,2,0,0,0,0,2,0,8,0,2
M-0065,recovered/corpus-v43/vol43/iss1/020-back-matter.txt,43,1,back_matter,metadata,Back Matter,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-0081,recovered/corpus-v43/vol43/iss2/016-back-matter.txt,43,2,back_matter,metadata,Back Matter,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
