record_id,file,volume,issue,kind,functional_class,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0070,recovered/corpus-v43/vol43/iss2/005-living-in-disharmony-women-s-experiences-of-gendered-progress-and-failure-in-new-harmony-indiana-1824-1827.txt,43,2,article,substantive,"Living in Disharmony: Women's Experiences of Gendered Progress and Failure in New Harmony, Indiana, 1824-1827",Olivia Krall,25,1419,1,316,18,177,169,59,10,4,6,6,6,22,5
M-0068,recovered/corpus-v43/vol43/iss2/003-revisiting-backwoods-utopias-at-75-arthur-bestors-scholarship-and-its-legacy.txt,43,2,article,substantive,Revisiting Backwoods Utopias at 75: Arthur Bestorâ•Žs Scholarship and Its Legacy,Carl Guarneri,17,272,0,42,10,64,26,12,8,4,6,10,74,42,5
M-0053,recovered/corpus-v43/vol43/iss1/008-connecting-the-dots-steps-toward-a-synthesis-of-american-communal-history.txt,43,1,article,substantive,Connecting the Dots: Steps toward a Synthesis of American Communal History,Carl Guarneri,27,246,0,22,14,76,18,40,6,0,4,6,12,20,4
M-0075,recovered/corpus-v43/vol43/iss2/010-review-of-commune-chasing-a-utopian-dream-in-aotearoa.txt,43,2,book_review,substantive,Review of Commune: Chasing a Utopian Dream in Aotearoa,William J. Metcalf,5,122,0,7,9,40,2,5,12,0,1,6,7,3,4
M-0051,recovered/corpus-v43/vol43/iss1/006-three-developmental-trajectories-of-communal-change.txt,43,1,article,substantive,Three Developmental Trajectories of Communal Change,Dan McKanan,11,110,0,4,4,36,32,10,4,0,0,0,4,10,2
M-0049,recovered/corpus-v43/vol43/iss1/004-the-development-of-developmental-communalisms.txt,43,1,article,substantive,The Development of Developmental Communalisms,Donald E. Pitzer,5,104,0,24,2,12,8,2,2,0,0,2,0,2,2
M-0079,recovered/corpus-v43/vol43/iss2/014-review-of-like-a-fiery-meteor-the-life-of-joseph-f-smith.txt,43,2,book_review,substantive,Review of Like a Fiery Meteor: The Life of Joseph F. Smith,Erik J. Freeman,4,67,0,12,2,6,12,3,2,0,0,4,6,0,2
M-0052,recovered/corpus-v43/vol43/iss1/007-developmental-communal-studies.txt,43,1,article,substantive,Developmental Communal Studies,Greg Brown,3,66,0,2,6,6,10,8,8,0,0,4,0,2,2
M-0072,recovered/corpus-v43/vol43/iss2/007-review-of-against-sex-identities-of-sexual-restraint-in-early-america.txt,43,2,book_review,substantive,Review of Against Sex: Identities of Sexual Restraint in Early America,Colby Townsend,5,64,0,1,6,1,20,4,8,0,1,2,13,2,4
M-0063,recovered/corpus-v43/vol43/iss1/018-review-of-waco-american-apocalypse.txt,43,1,book_review,substantive,Review of Waco: American Apocalypse,Cheryl Coulthard,3,62,0,10,4,6,4,2,4,0,0,0,6,2,2
M-0069,recovered/corpus-v43/vol43/iss2/004-the-burned-over-district-at-75-whitney-crosss-analysis-and-its-problems.txt,43,2,article,substantive,The Burned-over District at 75: Whitney Crossâ•Žs Analysis and Its Problems,Michael Barkun,10,60,0,5,2,12,7,10,4,0,10,2,2,10,4
M-0064,recovered/corpus-v43/vol43/iss1/019-review-of-waco-the-aftermath.txt,43,1,book_review,substantive,Review of Waco: The Aftermath,Cheryl Coulthard,3,58,0,2,12,8,4,4,4,0,0,0,2,0,1
M-0077,recovered/corpus-v43/vol43/iss2/012-review-of-community-led-housing-a-cohousing-development-approach.txt,43,2,book_review,substantive,Review of Community Led Housing: A Cohousing Development Approach,David H. Entin,5,57,0,2,0,44,1,0,2,1,0,0,11,0,2
M-0080,recovered/corpus-v43/vol43/iss2/015-review-of-an-assassin-in-utopia-the-true-story-of-a-nineteenth-century-sex-cult-and-a-presidents-murder.txt,43,2,book_review,substantive,Review of An Assassin in Utopia: The True Story of a Nineteenth-Century Sex Cult and a Presidentâ•Žs Murder,Christa Shusko,5,53,1,8,3,10,0,7,2,0,3,4,6,6,4
M-0062,recovered/corpus-v43/vol43/iss1/017-review-of-waco.txt,43,1,book_review,substantive,Review of Waco,Cheryl Coulthard,3,50,0,6,2,12,2,2,4,0,0,2,4,0,2
M-0071,recovered/corpus-v43/vol43/iss2/006-review-of-shaker-visions-of-the-divine-essays-on-their-sacred-art-and-scripture.txt,43,2,book_review,substantive,Review of Shaker Visions of the Divine: Essays on their Sacred Art and Scripture,Carol Medlicott,5,44,0,5,4,5,0,7,3,0,8,5,10,4,4
M-0056,recovered/corpus-v43/vol43/iss1/011-review-of-the-look-of-utopia-oneida-community-buildings-landscape-projects-and-photographs-1848-1880.txt,43,1,book_review,substantive,"Review of The Look of Utopia: Oneida Community Buildings Landscape Projects, and Photographs (1848-1880)",Matthew Wilson,5,43,0,5,3,2,0,5,5,0,0,4,8,2,3
M-0074,recovered/corpus-v43/vol43/iss2/009-review-of-cooperation-a-political-economic-and-social-theory.txt,43,2,book_review,substantive,"Review of Cooperation: A Political, Economic and Social Theory",Patricia Ventura,5,42,0,5,9,8,0,1,0,0,1,8,7,4,4
