record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0915,recovered/corpus-v37/vol37/iss1/006-death-of-a-guru-an-analysis-of-the-postcharismatic-phase-in-the-transcendental-meditation-movement.txt,37,1,article,Death of a Guru: An Analysis of the Postcharismatic Phase in the Transcendental Meditation Movement,Lane Atmore,32,308,0,14,11,93,5,125,7,5,1,7,0,34,4
M-0914,recovered/corpus-v37/vol37/iss1/005-the-influence-of-moravian-brethren-religious-thought-and-practice-on-the-development-of-camphill-communities.txt,37,1,article,The Influence of Moravian Brethren Religious Thought and Practice on the Development of Camphill Communities,Robin Jackson,27,265,0,2,11,46,103,19,23,2,3,9,2,15,5
M-0933,recovered/corpus-v37/vol37/iss2/008-a-new-map-for-understanding-peoples-temple-and-jim-jones.txt,37,2,article,"A New Map for Understanding Peoples Temple
and Jim Jones",Laura Johnston Kohl,11,194,0,12,9,38,36,18,16,3,4,2,1,3,5
M-0929,recovered/corpus-v37/vol37/iss2/004-the-political-economy-of-communal-life-zionist-settlement-policy-and-kibbutz-collective-practices-19202010.txt,37,2,article,"The Political Economy of Communal Life:
Zionist Settlement Policy and
Kibbutz Collective Practices, 1920â•fi2010",Daniel DeMalach,25,181,1,12,5,100,12,11,4,9,4,3,7,11,5
M-0913,recovered/corpus-v37/vol37/iss1/004-lived-utopianism-everyday-life-and-intentional-communities.txt,37,1,article,Lived Utopianism: Everyday Life and Intentional Communities,Lucy Sargisson and Lyman Tower Sargent,24,150,0,10,6,62,17,17,4,2,13,3,0,5,4
M-0922,recovered/corpus-v37/vol37/iss1/013-review-of-the-family.txt,37,1,book_review,Review of The Family,Bill Metcalf,5,142,1,10,13,17,41,7,7,0,2,3,5,4,4
M-0931,recovered/corpus-v37/vol37/iss2/006-the-pacific-coast-chapter-of-the-nh-csa-a-history-with-personal-reflections.txt,37,2,article,"The Pacific Coast Chapter of the [NH]CSA:
A History With Personal Reflections",Charles P. LeWarne,18,93,0,5,7,31,17,13,1,1,3,0,0,12,3
M-0916,recovered/corpus-v37/vol37/iss1/007-apocalyptic-anticipations-mormon-millenarianism-in-the-early-years.txt,37,1,article,Apocalyptic Anticipations: Mormon Millenarianism in the Early Years,Grant Underwood,14,70,0,6,11,13,4,4,3,3,1,2,1,6,5
M-0930,recovered/corpus-v37/vol37/iss2/005-the-gods-of-the-dunes-the-diverse-spiritual-practices-and-beliefs-of-the-dunites.txt,37,2,article,"The Gods of the Dunes: The Diverse Spiritual Practices
and Beliefs of the Dunites",Amy hart,19,65,0,3,6,17,6,18,1,2,0,1,0,10,3
M-0921,recovered/corpus-v37/vol37/iss1/012-review-of-city-of-refuge-separatists-and-utopian-town-planning.txt,37,1,book_review,Review of City of Refuge: Separatists and Utopian Town Planning,Martha Bradley-Evans,4,37,2,4,2,3,0,15,1,1,0,1,4,0,3
