record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0935,recovered/corpus-v37/vol37/iss2/010-review-of-gray-sabbath-jesus-people-usa-the-evangelical-left-and-the-evolution-of-christian-rock.txt,37,2,book_review,"Review of Gray Sabbath: Jesus People USA, the Evangelical Left,
and the Evolution of Christian Rock",Carol Medlicott,5,37,1,2,1,8,3,12,2,0,1,0,5,1,3
M-0917,recovered/corpus-v37/vol37/iss1/008-review-of-the-allure-of-immortality-an-american-cult-a-florida-swamp-and-a-renegade-prophet.txt,37,1,article,"The Allure of Immortality: An American Cult, a Florida Swamp, and a Renegade Prophet",Christian Goodwillie,5,25,0,2,0,5,0,2,4,1,0,3,4,4,4
M-0932,recovered/corpus-v37/vol37/iss2/007-a-return-to-twin-oaks-october-2016.txt,37,2,article,A Return to Twin Oaks: October 2016,Francis Cape,11,25,0,0,0,4,13,8,0,0,0,1,0,1,2
M-0920,recovered/corpus-v37/vol37/iss1/011-review-of-amazon-acres-you-beauty.txt,37,1,book_review,"Review of Amazon Acres, You Beauty",Bill Metcalf,5,24,0,3,1,8,1,4,0,0,0,0,5,0,1
M-0925,recovered/corpus-v37/vol37/iss1/016-review-of-utopia-drive.txt,37,1,book_review,Review of Utopia Drive,Kathleen M. Fernandez,5,20,0,5,0,2,1,2,0,0,0,0,5,0,1
M-0923,recovered/corpus-v37/vol37/iss1/014-review-of-the-unsettlers-in-search-of-the-good-life-in-todays-america.txt,37,1,book_review,Review of The Unsettlers: In Search of the Good Life in Todayâ•Žs America,Etta M. Madden,5,17,0,0,2,6,3,1,1,0,0,1,6,1,3
M-0918,recovered/corpus-v37/vol37/iss1/009-review-of-we-are-as-gods-back-to-the-land-in-the-1970s-on-the-quest-for-a-new-america.txt,37,1,book_review,Review of We Are as Gods: Back to the Land in the 1970s on the Quest for a New America,Deborah E. Altus,4,12,0,0,2,1,4,0,1,0,0,1,5,1,3
M-0934,recovered/corpus-v37/vol37/iss2/009-review-of-we-sit-together-utopian-benches-from-the-shakers-to-the-separatists-of-zoar.txt,37,2,book_review,"Review of We Sit Together: Utopian Benches from the Shakers to the
Separatists of Zoar",Peter Hoehnle,3,9,1,1,0,0,1,5,0,0,0,0,4,0,1
M-0919,recovered/corpus-v37/vol37/iss1/010-review-of-the-amish-a-concise-introduction.txt,37,1,book_review,Review of The Amish: A Concise Introduction,Kathleen M. Fernandez,3,8,0,0,0,4,3,1,0,0,0,0,4,0,1
M-0924,recovered/corpus-v37/vol37/iss1/015-review-of-together-resilient.txt,37,1,book_review,Review of Together Resilient,Zach Rubin,4,6,0,0,1,4,0,0,0,0,0,0,7,1,2
M-0912,recovered/corpus-v37/vol37/iss1/003-from-the-editors.txt,37,1,editorial,From the Editors,"Carol Medlicott, Heather Van Wormer, and Susan Love Brown",2,5,0,0,1,3,0,0,0,0,0,0,5,0,1
M-0911,recovered/corpus-v37/vol37/iss1/002-contents.txt,37,1,contents,Contents,,3,3,0,0,0,0,1,2,0,0,0,0,1,0,1
M-0927,recovered/corpus-v37/vol37/iss2/002-from-the-editors.txt,37,2,editorial,From the Editors,"Carol Medlicott, Heather Van Wormer, and Susan Love Brown",2,3,0,0,1,1,0,0,0,0,1,0,4,0,2
M-0928,recovered/corpus-v37/vol37/iss2/003-table-of-contents.txt,37,2,table_of_contents,Table of Contents,,3,3,0,0,0,1,0,2,0,0,0,0,2,0,1
M-0910,recovered/corpus-v37/vol37/iss1/001-front-matter.txt,37,1,front_matter,Front Matter,,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1
M-0926,recovered/corpus-v37/vol37/iss2/001-front-matter.txt,37,2,front_matter,Front Matter,,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1
