record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0891,recovered/corpus-v36/vol36/iss1/003-a-case-study-analysis-of-dancing-rabbit-ecovillage-missouri.txt,36,1,article,"A Case Study Analysis of Dancing Rabbit Ecovillage, Missouri",Rachel Beck and Alison Ormsby,25,225,0,3,3,195,4,5,2,7,4,1,8,7,5
M-0893,recovered/corpus-v36/vol36/iss1/005-the-emancipation-of-shakerism.txt,36,1,article,The Emancipation of Shakerism,Philippe Chavance,32,222,0,11,8,92,20,40,7,4,4,7,0,13,4
M-0902,recovered/corpus-v36/vol36/iss2/004-sustainability-in-practice-a-comparative-case-study-analysis-of-the-ecovillage-at-ithaca-earthaven-and-sirius.txt,36,2,article,"Sustainability in Practice: A Comparative Case Study Analysis of the EcoVillage at Ithaca, Earthaven, and Sirius",Jesse Sherry and Alison Ormsby,28,167,0,2,5,116,2,12,7,0,7,1,16,8,4
M-0892,recovered/corpus-v36/vol36/iss1/004-camphill-at-seventy-five-developmental-communalism-in-process.txt,36,1,article,Camphill at Seventy-Five: Developmental Communalism in Process,Daniel McKanan,26,161,0,3,9,77,26,13,6,13,4,2,3,6,5
M-0903,recovered/corpus-v36/vol36/iss2/005-the-pinery-saints-mormon-communalism-at-black-river-falls-wisconsin.txt,36,2,article,"The Pinery Saints: Mormon Communalism at Black River Falls, Wisconsin",Matthew J. Grow and Brian Whitney,19,157,0,3,7,64,21,31,6,4,0,1,1,17,4
M-0901,recovered/corpus-v36/vol36/iss2/003-simple-gifts-the-discovery-and-popularity-of-a-shaker-dance-song.txt,36,2,article,â•œSimple Giftsâ•š: The Discovery and Popularity of a Shaker Dance Song,Roger Lee Hall,26,53,0,5,5,6,15,1,2,2,0,3,4,7,4
M-0896,recovered/corpus-v36/vol36/iss1/008-review-of-storming-zion-government-raids-on-religious-communities.txt,36,1,book_review,Review of Storming Zion: Government Raids on Religious Communities,Timothy Miller,4,43,1,4,4,14,6,3,0,4,2,0,4,0,3
M-0894,recovered/corpus-v36/vol36/iss1/006-review-of-historic-new-lanark-the-dale-and-owen-industrial-community-since-1785.txt,36,1,book_review,Review of Historic New Lanark: The Dale and Owen Industrial Community Since 1785,Gregory W. Brown,4,39,0,2,1,9,8,2,4,0,1,2,6,3,4
M-0895,recovered/corpus-v36/vol36/iss1/007-review-of-handbook-of-the-theosophical-current.txt,36,1,book_review,Review of Handbook of the Theosophical Current,John L. Crow,5,27,0,0,4,12,3,1,1,0,6,0,6,2,3
M-0907,recovered/corpus-v36/vol36/iss2/009-review-of-martyrs-mirror-a-social-history.txt,36,2,book_review,Review of Martyrs Mirror: A Social History,Rod Janzen,4,27,0,4,2,3,0,2,2,0,0,2,5,0,2
M-0906,recovered/corpus-v36/vol36/iss2/008-review-of-oneida-from-free-love-utopia-to-well-set-table.txt,36,2,book_review,Review of Oneida: From Free Love Utopia to Well-Set Table,Thomas A. Guiler,5,19,0,1,0,3,4,3,2,0,2,2,5,1,4
M-0904,recovered/corpus-v36/vol36/iss2/006-review-of-the-future-of-evangelicalism-in-america.txt,36,2,book_review,Review of The Future of Evangelicalism in America,Brady Kal Cox,5,16,0,2,2,5,0,1,0,0,1,1,7,0,3
M-0909,recovered/corpus-v36/vol36/iss2/011-review-of-naked-in-the-woods-my-unexpected-years-in-a-hippie-commune.txt,36,2,book_review,Review of Naked in the Woods: My Unexpected Years in a Hippie Commune,Kathleen Willins,4,15,0,0,2,5,3,3,0,0,0,0,4,0,1
M-0908,recovered/corpus-v36/vol36/iss2/010-review-of-pennsylvania-dutch-the-story-of-an-american-language.txt,36,2,book_review,Review of Pennsylvania Dutch: The Story of an American Language,David L. Weaver-Zercher,5,10,0,0,2,2,0,1,1,0,0,2,5,0,2
M-0897,recovered/corpus-v36/vol36/iss1/009-review-of-upstate-cauldron-eccentric-spiritual-movements-in-early-new-york-state.txt,36,1,book_review,Review of Upstate Cauldron: Eccentric Spiritual Movements in Early New York State,Timothy Miller,3,8,0,1,0,4,1,0,0,1,0,0,4,0,2
M-0898,recovered/corpus-v36/vol36/iss1/010-review-of-paradise-now-the-story-of-american-utopianism.txt,36,1,book_review,Review of Paradise Now: The Story of American Utopianism,Jaya Reinhalter,4,8,0,1,0,3,1,1,0,0,0,0,6,0,1
M-0905,recovered/corpus-v36/vol36/iss2/007-review-of-tiny-zion-harvest-hills-an-intentional-zionic-community.txt,36,2,book_review,"Review of Tiny Zion: Harvest Hills, an Intentional Zionic Community",Lawrence Foster,3,1,0,0,0,1,0,0,0,0,0,0,4,0,1
M-0890,recovered/corpus-v36/vol36/iss1/002-from-the-editors.txt,36,1,editorial,From the Editors,"Carol Medlicott, Heather Van Wormer, and Susan Love Brown",2,9,0,0,1,3,0,1,1,0,1,0,3,0,2
M-0900,recovered/corpus-v36/vol36/iss2/002-from-the-editors.txt,36,2,editorial,From the Editors,"Carol Medlicott, Heather Van Wormer, and Susan Love Brown",2,9,0,0,1,3,0,1,1,0,1,0,3,0,2
M-0889,recovered/corpus-v36/vol36/iss1/001-contents.txt,36,1,contents,Contents,,3,3,0,1,0,0,0,0,0,0,0,0,1,0,1
M-0899,recovered/corpus-v36/vol36/iss2/001-contents.txt,36,2,contents,Contents,,3,3,0,1,0,0,0,0,0,0,0,0,1,0,1
