record_id,file,volume,issue,kind,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0808,recovered/corpus-v33/vol33/iss1/011-review-of-prophetic-encounters-religion-and-the-american-radical-tradition.txt,33,1,book_review,Review of Prophetic Encounters: Religion and the American Radical Tradition,Charles P. LeWarne,4,5,0,0,0,5,0,0,0,0,1,0,5,0,2
M-0820,recovered/corpus-v33/vol33/iss2/009-review-of-chosen-people-the-rise-of-black-israelite-religions.txt,33,2,book_review,Review of Chosen People: The Rise of Black Israelite Religions,Monica C. Reed,4,5,0,0,1,2,0,1,0,0,1,0,5,1,3
M-0809,recovered/corpus-v33/vol33/iss1/012-review-of-spiritual-and-visionary-communities-out-to-save-the-world.txt,33,1,book_review,Review of Spiritual and Visionary Communities: Out to Save the World,William J. Metcalf,4,4,0,0,0,2,1,1,0,0,1,0,5,0,2
M-0823,recovered/corpus-v33/vol33/iss2/012-review-of-the-communal-idea-in-the-twenty-first-century.txt,33,2,book_review,Review of The Communal Idea in the Twenty-First Century,Lucy Sargisson,4,2,0,0,0,1,0,1,0,0,2,0,4,0,2
M-0799,recovered/corpus-v33/vol33/iss1/002-contents.txt,33,1,contents,Contents,,4,15,0,3,2,0,1,1,0,1,0,0,1,0,2
M-0798,recovered/corpus-v33/vol33/iss1/001-front-matter.txt,33,1,front_matter,Front Matter,,4,6,0,0,2,2,0,0,0,0,0,2,3,0,2
M-0812,recovered/corpus-v33/vol33/iss2/001-front-matter.txt,33,2,front_matter,Front Matter,,4,6,0,0,2,2,0,0,0,0,0,2,3,0,2
M-0813,recovered/corpus-v33/vol33/iss2/002-contents.txt,33,2,contents,Contents,,5,5,0,0,2,0,0,1,0,0,0,0,2,0,1
M-0800,recovered/corpus-v33/vol33/iss1/003-from-the-editors.txt,33,1,editorial,From the Editors,"Peter Hoehnle, Joshua Fleer, Carol Medlicott, and Ruth Lambach",2,3,0,1,0,0,0,0,0,0,0,0,1,1,2
M-0811,recovered/corpus-v33/vol33/iss1/014-back-matter.txt,33,1,back_matter,Back Matter,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-0814,recovered/corpus-v33/vol33/iss2/003-from-the-editors.txt,33,2,editorial,From the Editors,"Peter Hoehnle, Joshua Fleer, Carol Medlicott, and Ruth Lambach",2,0,0,0,0,0,0,0,0,0,1,0,5,0,2
M-0833,recovered/corpus-v33/vol33/iss2/022-back-matter.txt,33,2,back_matter,Back Matter,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
